;name;album;artist;release_date;length;popularity;danceability;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;tempo;time_signature;mode;valence;key
2908;Rolex;CB6;Capital Bra;2019-04-12;235954;58;0.813;0.346;0.813;0.59;0.0;0.0335;-6.542;0.345;91.985;4;0;0.716;4
2909;Tequila;Dan + Shay;Dan + Shay;2018-06-22;196746;73;0.489;0.0312;0.489;0.581;0.0;0.132;-5.731;0.0281;86.016;4;1;0.494;11
2910;Haute (feat. J Balvin & Chris Brown);Legendary;Tyga;2019-06-07;160876;62;0.946;0.0778;0.946;0.723;0.0;0.0608;-3.692;0.114;102.956;4;1;0.349;9
2911;Beggin For Thread;Goddess;BANKS;2014-01-01;249739;32;0.597;0.00101;0.597;0.696;0.0735;0.255;-6.196;0.0278;107.96;4;0;0.397;5
2912;Who Needs Love;A Love Letter To You 4;Trippie Redd;2019-11-22;158532;73;0.85;0.763;0.85;0.516;0.0;0.0896;-7.664;0.0714;108.963;4;0;0.874;0
2913;Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy);Revenge Of The Dreamers III;Dreamville;2019-07-05;169146;68;0.761;0.0392;0.761;0.586;0.0;0.0558;-5.368;0.359;149.804;4;1;0.719;0
2914;The Truth Untold;Love Yourself 轉 'Tear';BTS;2018-05-18;242292;71;0.57;0.372;0.57;0.422;0.0;0.127;-7.561;0.0422;113.007;4;0;0.169;1
2915;Something Special;Shoot For The Stars Aim For The Moon;Pop Smoke;2020-07-03;158466;74;0.739;0.252;0.739;0.616;1.93e-06;0.101;-6.963;0.0338;91.071;4;0;0.654;7
2916;THE BADDEST;THE BADDEST;K/DA;2020-08-27;162600;73;0.676;0.0215;0.676;0.857;0.0;0.254;-4.368;0.0438;149.981;4;0;0.717;10
2917;Floating (feat. 21 Savage);CrasH Talk;ScHoolboy Q;2019-04-26;186826;65;0.906;0.181;0.906;0.545;0.0;0.091;-4.977;0.344;139.932;4;0;0.543;11
2918;To the Max;To the Max;DJ Khaled;2017-06-05;193901;0;0.461;0.0184;0.461;0.812;0.000375;0.21;-5.776;0.241;159.869;4;0;0.72;10
2919;Real Friends;The Life Of Pablo;Kanye West;2016-04-01;251573;0;0.523;0.277;0.523;0.752;0.000356;0.138;-6.244;0.429;109.203;5;0;0.129;6
2920;Sauce!;XXXTENTACION Presents: Members Only, Vol. 4;XXXTENTACION;2019-01-23;144724;63;0.68;0.582;0.68;0.313;0.0;0.19;-13.672;0.0347;135.034;4;0;0.405;3
2921;Nephew (feat. Lil Pump);Nephew (feat. Lil Pump);Smokepurpp;2018-07-27;202962;57;0.792;0.00422;0.792;0.454;0.0;0.285;-6.753;0.458;161.993;4;1;0.674;9
2922;That Way;That Way;Lil Uzi Vert;2020-03-01;212354;69;0.719;0.0582;0.719;0.611;0.0;0.155;-5.01;0.0403;129.962;4;0;0.489;7
2923;Technically Single;Technically Single;Tayler Buono;2016-07-01;199120;0;0.772;0.191;0.772;0.658;4.86e-06;0.0851;-4.657;0.0524;139.908;4;1;0.227;2
2924;One Day (feat. Ryan Tedder);One Day (feat. Ryan Tedder);Logic;2018-07-27;199866;49;0.529;0.118;0.529;0.871;0.000164;0.115;-5.831;0.155;189.837;4;1;0.272;10
2925;Break Up In A Small Town;Montevallo;Sam Hunt;2014-10-27;229880;69;0.579;0.0749;0.579;0.776;0.0;0.239;-5.365;0.173;136.044;4;1;0.434;8
2926;Redemption;Views;Drake;2016-05-13;333946;37;0.694;0.612;0.694;0.314;2.04e-06;0.117;-7.82;0.117;119.906;4;1;0.338;0
2927;Tu Veneno;Tu Veneno;J Balvin;2021-03-19;157320;82;0.664;0.0625;0.664;0.659;0.00024;0.0874;-4.232;0.0873;175.826;4;0;0.797;10
2928;Weston Road Flows;Views;Drake;2016-05-13;253533;34;0.623;0.0635;0.623;0.74;0.0;0.366;-6.945;0.307;82.874;4;1;0.351;1
2929;BLACK PARADE;BLACK PARADE;Beyoncé;2020-06-19;281272;64;0.824;0.00337;0.824;0.555;6.42e-06;0.217;-5.817;0.05;120.002;4;1;0.0611;1
2930;Best Life (feat. Chance The Rapper);Invasion of Privacy;Cardi B;2018-04-06;284855;59;0.62;0.287;0.62;0.625;0.0;0.314;-7.438;0.553;167.911;4;1;0.665;9
2931;Kelly Price (feat. Travis Scott);Culture;Migos;2017-01-27;363934;64;0.745;0.53;0.745;0.685;0.0;0.176;-5.7;0.0313;121.977;4;0;0.437;4
2932;Let Me Know (I Wonder Why Freestyle);Let Me Know (I Wonder Why Freestyle);Juice WRLD;2019-12-07;215380;77;0.635;0.172;0.635;0.537;0.0;0.418;-7.895;0.0832;125.028;4;0;0.383;7
2933;Get It Right (feat. MØ);Get It Right (feat. MØ);Diplo;2017-11-15;172500;0;0.456;0.108;0.456;0.833;1.71e-05;0.0592;-4.242;0.0964;159.808;4;1;0.261;0
2934;Trumpsta - Djuro Remix;Trumpsta (Remixes);Contiez;2013-05-13;258519;48;0.973;0.00208;0.973;0.589;0.319;0.276;-7.014;0.236;128.006;4;1;0.201;1
2935;Indecente;Indecente;Anitta;2018-03-26;205187;56;0.874;0.16;0.874;0.602;0.000842;0.096;-5.118;0.127;127.997;4;1;0.587;7
2936;21;21;Hunter Hayes;2015-05-26;194480;9;0.501;0.0586;0.501;0.9;0.0;0.218;-4.366;0.0433;160.096;4;1;0.943;11
2937;Scholarships;What A Time To Be Alive;Drake;2015-09-20;209287;60;0.739;0.0966;0.739;0.416;1.27e-05;0.1;-9.319;0.285;109.168;4;0;0.259;0
2938;Talking to the Moon;Doo-Wops & Hooligans;Bruno Mars;2010-10-05;217866;85;0.523;0.512;0.523;0.606;0.0;0.106;-4.754;0.0301;145.837;4;0;0.065;1
2939;Bickenhead;Invasion of Privacy;Cardi B;2018-04-06;181623;58;0.884;0.154;0.884;0.814;1.67e-06;0.158;-5.333;0.303;155.938;4;1;0.907;7
2940;Graduation (with Juice WRLD);Graduation (with Juice WRLD);benny blanco;2019-08-30;177847;75;0.731;0.107;0.731;0.65;0.0;0.124;-5.286;0.271;154.968;4;1;0.605;0
2941;Blackberry Sky;Blackberry Sky;Eno;2019-03-22;156497;48;0.805;0.25;0.805;0.625;0.00527;0.0954;-8.589;0.0434;102.996;4;0;0.647;5
2942;We Dem Boyz;Blacc Hollywood;Wiz Khalifa;2014-08-18;224933;32;0.698;0.0104;0.698;0.868;0.0;0.343;-4.748;0.0582;130.031;4;1;0.378;8
2943;Circles;Circles;Mac Miller;2020-01-17;170360;69;0.61;0.896;0.61;0.0316;0.00461;0.108;-15.186;0.0486;151.964;4;1;0.37;9
2944;BENDICIONES;LAS QUE NO IBAN A SALIR;Bad Bunny;2020-05-10;155060;69;0.828;0.0378;0.828;0.581;0.0;0.103;-9.909;0.0725;143.995;4;1;0.843;11
2945;Survival;The Marshall Mathers LP2;Eminem;2013-11-05;272417;26;0.442;0.00374;0.442;0.889;0.0;0.124;-3.254;0.246;176.118;4;1;0.405;7
2946;Is That for Me;Is That For Me;Alesso;2017-10-13;169269;1;0.761;0.234;0.761;0.785;0.237;0.0573;-5.502;0.0505;104.992;4;1;0.58;8
2947;Zombie;Zombie;Samra;2019-07-11;176534;56;0.565;0.218;0.565;0.604;0.0;0.104;-5.764;0.13;109.085;4;0;0.323;2
2948;KARMA;KARMA;Nimo;2019-10-31;255133;56;0.698;0.139;0.698;0.634;4.89e-06;0.338;-6.121;0.0742;159.992;4;0;0.528;0
2949;So Good;So Good;Zara Larsson;2017;166706;0;0.726;0.085;0.726;0.576;0.0;0.0458;-7.341;0.146;82.055;4;1;0.783;0
2950;I Will Never Let You Down;I Will Never Let You Down (The Remixes);Rita Ora;2014-04-22;203466;37;0.753;0.403;0.753;0.801;0.0;0.128;-3.215;0.0296;128.011;4;1;0.794;4
2951;Get Up 10;Invasion of Privacy;Cardi B;2018-04-06;231453;60;0.806;0.0977;0.806;0.57;0.0;0.105;-6.927;0.246;93.015;4;1;0.454;1
2952;Roadrunner;Roadrunner;Bonez MC;2020-05-21;149028;3;0.795;0.128;0.795;0.607;0.19;0.111;-9.04;0.23;99.012;4;1;0.25;7
2953;DODI;DODI;Shindy;2019-01-11;183045;49;0.823;0.0101;0.823;0.56;2.86e-05;0.126;-7.057;0.0629;146.958;4;0;0.371;10
2954;Overnight;Bobby Tarantino II;Logic;2018-03-09;217560;56;0.861;0.00138;0.861;0.745;1.87e-05;0.141;-6.77;0.0608;150.002;4;1;0.889;1
2955;Honda Civic;Honda Civic;The Cratez;2019-09-27;158060;62;0.704;0.282;0.704;0.782;0.00769;0.0759;-5.471;0.164;93.35;4;0;0.346;1
2956;Don't Quit (feat. Travis Scott & Jeremih);Grateful;DJ Khaled;2017-06-22;229146;49;0.652;0.015;0.652;0.827;0.0;0.432;-3.98;0.0445;100.011;4;0;0.659;7
2957;Emotions;Rich Rich;Ufo361;2020-04-24;146012;66;0.814;0.351;0.814;0.459;0.0165;0.107;-10.859;0.282;131.518;5;1;0.211;8
2958;Gonna Love Ya;Stories;Avicii;2015-10-02;215813;0;0.715;0.146;0.715;0.681;0.0802;0.139;-6.702;0.05;99.988;4;0;0.697;3
2959;FRIENDS (feat. kiLL edward);KOD;J. Cole;2018-04-20;257646;59;0.715;0.101;0.715;0.652;0.0;0.11;-7.909;0.396;109.28;5;0;0.498;6
2960;Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix);Lana Del Rey;2013-02-01;214912;74;0.572;0.0157;0.572;0.81;6.53e-06;0.13;-5.791;0.0558;126.052;4;0;0.11;1
2961;BROWN SKIN GIRL;The Lion King: The Gift;Beyoncé;2019-07-19;248472;67;0.603;0.049;0.603;0.602;0.0;0.279;-7.083;0.23;119.703;5;1;0.595;6
2962;Wasn't Expecting That;Jamie Lawson;Jamie Lawson;2015-10-09;201072;62;0.591;0.424;0.591;0.415;0.000299;0.111;-6.936;0.0437;90.483;4;1;0.197;6
2963;F*ck Up Some Commas;DS2 (Deluxe);Future;2015-07-17;237400;66;0.874;0.0698;0.874;0.568;1.38e-05;0.149;-5.896;0.224;139.995;4;0;0.46;11
2964;Midnight;Bobby Tarantino II;Logic;2018-03-09;241426;59;0.568;0.0867;0.568;0.607;0.0;0.0972;-7.438;0.108;95.056;4;0;0.269;9
2965;Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix;Life Is Good (feat. Drake, DaBaby & Lil Baby) [Remix];Future;2020-02-15;315346;63;0.81;0.107;0.81;0.566;0.0;0.122;-8.33;0.433;142.069;4;1;0.582;5
2966;Sucker for You;Trouble;Matt Terry;2017-11-24;203813;49;0.874;0.218;0.874;0.649;0.0;0.337;-4.385;0.0833;95.004;4;1;0.712;0
2967;Cherry;Fine Line;Harry Styles;2019-12-13;259186;75;0.53;0.615;0.53;0.512;0.00453;0.129;-9.261;0.0259;95.946;4;1;0.411;7
2968;X (with KAROL G);XV;Jonas Brothers;2020-05-15;185277;72;0.715;0.0485;0.715;0.827;3.61e-05;0.321;-5.09;0.0617;117.977;4;0;0.75;4
2969;I don’t let go;SKINS;XXXTENTACION;2018-12-07;121630;62;0.797;0.591;0.797;0.293;0.0724;0.148;-7.479;0.08;80.035;4;1;0.478;5
2970;She's Mine Pt. 2;4 Your Eyez Only;J. Cole;2016-12-09;278920;60;0.486;0.798;0.486;0.194;0.00624;0.114;-15.265;0.0712;70.031;4;1;0.048;2
2971;Chemtrails Over The Country Club;Chemtrails Over The Country Club;Lana Del Rey;2021-01-11;271176;60;0.334;0.877;0.334;0.276;0.000249;0.113;-13.125;0.0643;201.025;3;0;0.429;4
2972;Wolves;The Life Of Pablo;Kanye West;2016-04-01;301586;0;0.551;0.193;0.551;0.403;0.00219;0.133;-8.02;0.061;78.252;4;1;0.119;1
2973;ANTES QUE SE ACABE;EL ÚLTIMO TOUR DEL MUNDO;Bad Bunny;2020-11-27;221186;73;0.693;0.505;0.693;0.549;4.73e-05;0.324;-6.098;0.0577;139.988;4;1;0.473;2
2974;Snake Eyes;Wilder Mind;Mumford & Sons;2015-05-04;248546;0;0.473;0.0184;0.473;0.683;0.299;0.0921;-7.665;0.0427;89.97;4;0;0.212;9
2975;2 Heads;2 Heads;Coleman Hell;2015-04-07;213706;55;0.733;0.0621;0.733;0.565;0.000324;0.104;-8.515;0.0367;120.006;4;1;0.35;0
2976;closure;evermore;Taylor Swift;2020-12-10;180653;52;0.686;0.832;0.686;0.705;4.55e-06;0.134;-10.823;0.249;151.868;5;1;0.919;9
2977;Tightrope;The Greatest Showman (Original Motion Picture Soundtrack);Various Artists;2017-12-08;234360;69;0.351;0.3;0.351;0.331;9.14e-06;0.0919;-10.316;0.0382;161.564;3;1;0.191;9
2978;Gang Gang;Culture II;Migos;2018-01-26;181318;57;0.731;0.261;0.731;0.627;0.0;0.112;-9.76;0.0754;90.03;4;1;0.5;2
2979;Pass auf wen du liebst;Pass auf wen du liebst;Ufo361;2019-03-17;209449;54;0.592;0.146;0.592;0.572;0.000172;0.115;-8.974;0.185;164.08;4;0;0.315;5
2980;Hands On;JESUS IS KING;Kanye West;2019-10-25;203174;56;0.514;0.558;0.514;0.393;0.0;0.282;-8.72;0.529;78.039;4;0;0.598;1
2981;L$D;AT.LONG.LAST.A$AP;A$AP Rocky;2015-05-26;238306;76;0.598;0.194;0.598;0.252;0.133;0.0992;-15.086;0.0644;120.064;4;1;0.0352;2
2982;Shots;We Love You Tecca;Lil Tecca;2019-08-30;109373;0;0.829;0.525;0.829;0.582;0.0;0.0759;-5.721;0.0415;108.028;4;0;0.51;7
2983;Hard Work Pays Off;Future & Juice WRLD Present... WRLD ON DRUGS;Future;2018-10-19;224506;69;0.736;0.327;0.736;0.482;0.0;0.229;-8.242;0.196;140.064;4;1;0.608;4
2984;Save Me;Save Me;LISTENBEE;2015-01-16;210706;3;0.751;0.0165;0.751;0.627;0.000113;0.123;-8.242;0.0308;122.005;4;1;0.686;1
2985;untitled 02 | 06.23.2014.;untitled unmastered.;Kendrick Lamar;2016-03-04;258826;59;0.667;0.341;0.667;0.508;0.0;0.644;-10.337;0.451;89.436;3;1;0.093;5
2986;Never Go Back;Never Go Back;Dennis Lloyd;2019-02-15;175424;67;0.421;0.0135;0.421;0.653;0.0;0.114;-4.85;0.398;78.6;4;0;0.733;9
2987;SORRY PAPI;EL ÚLTIMO TOUR DEL MUNDO;Bad Bunny;2020-11-27;163053;73;0.612;0.0601;0.612;0.561;0.0;0.145;-6.054;0.0851;191.911;4;1;0.393;1
2988;One Last Song;The Thrill Of It All (Special Edition);Sam Smith;2017-11-03;192922;58;0.672;0.367;0.672;0.53;0.0;0.321;-6.43;0.0284;103.326;3;1;0.485;1
2989;The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix;The Way Life Goes (feat. Nicki Minaj & Oh Wonder) [Remix];Lil Uzi Vert;2017-11-03;268863;62;0.749;0.68;0.749;0.671;0.0;0.167;-5.151;0.0599;81.994;4;1;0.756;6
2990;Thotiana (feat. Cardi B, YG) [Remix];Thotiana (feat. Cardi B, YG) [Remix];Blueface;2019-02-18;297546;23;0.911;0.0364;0.911;0.721;0.0;0.111;-4.833;0.28;104.11;4;0;0.69;10
2991;I Am;Black Panther The Album Music From And Inspired By;Kendrick Lamar;2018-02-09;208760;61;0.601;0.144;0.601;0.583;9.73e-05;0.183;-5.725;0.263;148.785;4;0;0.32;8
2992;Take Your Time;Montevallo;Sam Hunt;2014-10-27;243706;67;0.558;0.101;0.558;0.719;0.0;0.212;-5.603;0.0419;158.031;4;1;0.483;11
2993;Airplane pt.2;Love Yourself 轉 'Tear';BTS;2018-05-18;218614;67;0.769;0.0268;0.769;0.817;9.95e-05;0.084;-4.092;0.0339;139.979;4;0;0.866;0
2994;ALONE, PART 3;?;XXXTENTACION;2018-03-16;109986;65;0.61;0.883;0.61;0.258;0.0145;0.103;-12.758;0.0331;127.08;4;1;0.164;0
2995;Jenny (I Wanna Ruin Our Friendship);Studio Killers;Studio Killers;2013-06-04;215280;54;0.668;0.00305;0.668;0.799;0.0148;0.277;-5.701;0.0333;133.929;4;1;0.563;11
2996;120;EL ÚLTIMO TOUR DEL MUNDO;Bad Bunny;2020-11-27;151506;73;0.636;0.451;0.636;0.656;7.97e-06;0.287;-5.542;0.0676;171.918;4;0;0.439;2
2997;Fuckst mich nur ab;Hollywood;Bonez MC;2020-09-10;182931;67;0.817;0.233;0.817;0.468;0.0894;0.0905;-10.945;0.287;104.875;4;1;0.237;1
2998;YOSHI (feat. Fabri Fibra) - prod. Strage;MACHETE MIXTAPE 4;MACHETE;2019-07-05;211994;59;0.751;0.228;0.751;0.66;0.0;0.0827;-6.24;0.348;166.809;4;1;0.634;8
2999;Once an Addict - Interlude;KOD;J. Cole;2018-04-20;197821;57;0.623;0.626;0.623;0.473;0.0;0.119;-8.336;0.461;84.066;4;1;0.138;8
3000;six thirty;Positions;Ariana Grande;2020-10-30;183874;65;0.739;0.67;0.739;0.516;0.0;0.151;-7.154;0.0539;120.109;4;1;0.434;0
3001;Untouchable;Revival;Eminem;2017-12-15;370133;0;0.546;0.0781;0.546;0.89;0.0;0.146;-3.38;0.513;177.612;4;1;0.636;7
3002;Verleden Tijd;Francis;Frenna;2018-11-23;195469;48;0.771;0.131;0.771;0.661;5.45e-06;0.114;-6.718;0.0916;104.884;4;1;0.183;10
3003;Hero;Loma Vista;Family of the Year;2012-07-10;190280;65;0.341;0.213;0.341;0.539;6.44e-05;0.109;-5.76;0.0265;174.564;4;1;0.267;5
3004;Pretty Girls;Pretty Girls;Britney Spears;2015-05-04;163960;61;0.834;0.00799;0.834;0.831;0.0;0.217;-6.061;0.0745;103.009;4;0;0.788;7
3005;DNA;Hasso;KC Rebell;2019-04-19;253373;36;0.833;0.0526;0.833;0.701;2.46e-06;0.109;-4.602;0.265;156.094;4;1;0.524;2
3006;Premonition - Intro;Music To Be Murdered By;Eminem;2020-01-17;173893;63;0.847;0.0258;0.847;0.637;0.000648;0.382;-5.193;0.367;165.979;4;1;0.511;1
3007;Unterwegs;Treppenhaus;Apache 207;2020-07-31;172226;55;0.706;0.376;0.706;0.772;8.76e-06;0.0884;-6.765;0.189;99.186;4;0;0.304;3
3008;Preach;If You're Reading This It's Too Late;Drake;2015-02-12;236973;0;0.605;0.165;0.605;0.511;8.95e-05;0.104;-8.094;0.475;65.256;4;0;0.379;11
3009;Boys & Girls;Boys & Girls;will.i.am;2016-04-08;241160;0;0.899;0.346;0.899;0.74;0.00335;0.0914;-6.569;0.0527;107.998;4;0;0.623;11
3010;TRELLAS;EL ÚLTIMO TOUR DEL MUNDO;Bad Bunny;2020-11-27;157673;70;0.43;0.2;0.43;0.412;0.0;0.324;-5.372;0.0281;90.872;4;1;0.0508;2
3011;Freedom;Golden Hour;Kygo;2020-05-29;198635;65;0.511;0.127;0.511;0.635;0.0;0.0866;-6.591;0.116;111.329;4;1;0.381;7
3012;Wanted;Wanted;OneRepublic;2019-09-06;136247;64;0.668;0.164;0.668;0.534;0.0;0.1;-6.586;0.0677;145.816;4;1;0.711;1
3013;Jetzt rufst du an;Jetzt rufst du an;Loredana;2019-07-05;151887;53;0.661;0.338;0.661;0.473;0.0;0.11;-7.285;0.136;128.48;5;1;0.402;3
3014;Djomb - Bien ou quoi;Synkinisi;Bosh;2020-05-29;141893;66;0.945;0.172;0.945;0.676;0.00036;0.322;-6.6;0.207;123.109;4;1;0.631;1
3015;Shotta Flow 5;Shotta Flow 5;NLE Choppa;2020-06-12;145167;65;0.806;0.0838;0.806;0.749;0.0;0.0621;-5.268;0.328;140.032;4;1;0.77;1
3016;GIANTS;GIANTS;True Damage;2019-11-10;191720;69;0.642;0.0834;0.642;0.683;0.0;0.155;-5.386;0.262;154.881;4;1;0.584;1
3017;What I've Done;Minutes to Midnight;Linkin Park;2007-05-11;205613;34;0.623;0.0141;0.623;0.93;1.64e-06;0.138;-5.285;0.0324;120.119;4;1;0.287;5
3018;Go Legend (& Metro Boomin);Double Or Nothing (& Metro Boomin);Big Sean;2017-12-08;268946;61;0.656;0.0167;0.656;0.564;1.39e-06;0.165;-8.925;0.0883;150.014;4;0;0.25;1
3019;FANCY;FANCY YOU;TWICE;2019-04-22;213885;60;0.697;0.0122;0.697;0.874;0.0;0.627;-2.15;0.045;132.022;4;0;0.775;5
3020;;;;2017-11-07;190328;0;0.728;0.224;0.728;0.81;1.1e-05;0.0952;-5.2;0.0589;171.083;4;1;0.784;1
3021;Alocao (With Bad Gyal);Alocao (With Bad Gyal);Omar Montes;2019-10-24;209320;66;0.673;0.214;0.673;0.752;1.53e-06;0.106;-4.705;0.0567;178.005;4;0;0.699;11
3022;Affalterbach;Affalterbach;Shindy;2019-03-26;174159;51;0.819;0.0126;0.819;0.633;0.0;0.381;-4.893;0.328;86.982;4;0;0.808;10
3023;One Night Stand;Berlin lebt;Capital Bra;2018-06-22;162334;0;0.645;0.397;0.645;0.636;1.49e-06;0.0818;-6.128;0.437;101.933;4;0;0.897;5
3024;She Knows This;Man On The Moon III: The Chosen;Kid Cudi;2020-12-11;216560;69;0.39;0.162;0.39;0.724;0.0;0.393;-7.607;0.0889;165.945;4;0;0.312;6
3025;Machine;Origins (Deluxe);Imagine Dragons;2018-11-09;181880;65;0.638;0.0016;0.638;0.679;0.00655;0.121;-5.278;0.0425;81.045;4;1;0.596;4
3026;D4L;Dark Lane Demo Tapes;Drake;2020-05-01;189176;64;0.718;0.0128;0.718;0.706;0.0;0.352;-5.709;0.06;170.004;4;1;0.815;1
3027;Love Me More;A Love Letter To You 4;Trippie Redd;2019-11-22;143712;67;0.638;0.22;0.638;0.539;0.0;0.241;-5.853;0.0504;83.381;4;1;0.247;10
3028;Best Friend;Best Friend;Young Thug;2015-11-20;213000;62;0.959;0.0358;0.959;0.598;0.0;0.358;-5.534;0.0713;127.029;4;1;0.408;8
3029;POP;Eternal Atake;Lil Uzi Vert;2020-03-06;227474;60;0.741;0.00961;0.741;0.599;0.0;0.785;-6.672;0.419;139.891;4;0;0.276;1
3030;Together - Radio Edit;Together (Radio Edit);CAZZETTE;2015-05-29;188170;0;0.675;0.0481;0.675;0.811;6.28e-05;0.166;-5.755;0.0595;124.959;4;0;0.211;5
3031;CLOSE (feat. Travis Scott) - From SR3MM;SR3MM;Rae Sremmurd;2018-05-04;193510;62;0.691;0.104;0.691;0.736;0.0;0.111;-4.993;0.0321;140.034;4;1;0.0395;0
3032;Amor ou o Litrão;Amor ou o Litrão;Petter Ferraz;2020-10-16;173913;73;0.934;0.437;0.934;0.707;1.74e-05;0.0628;-4.214;0.0646;138.023;4;1;0.961;9
3033;911;Chromatica;Lady Gaga;2020-05-29;172133;72;0.789;0.0294;0.789;0.813;2.07e-06;0.519;-4.563;0.0374;116.007;4;1;0.42;5
3034;Bored To Death;Bored To Death;blink-182;2016-04-27;235613;0;0.502;0.00575;0.502;0.966;1.56e-06;0.117;-3.876;0.0946;159.948;4;1;0.638;0
3035;All For Us - from the HBO Original Series Euphoria;All For Us (from the HBO Original Series Euphoria);Labrinth;2019-08-04;192986;72;0.348;0.0165;0.348;0.652;0.000264;0.33;-7.145;0.0931;70.956;4;1;0.172;3
3036;Believe;Revival;Eminem;2017-12-15;315346;0;0.886;0.166;0.886;0.488;0.0;0.343;-5.628;0.184;130.064;4;0;0.114;1
3037;Diamonds (feat. Capital Bra);Diamonds (feat. Capital Bra);Summer Cem;2019-06-14;197013;0;0.763;0.0887;0.763;0.495;0.0;0.07;-8.685;0.272;154.794;4;0;0.347;4
3038;SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta);Persona;Marracash;2019-10-31;223045;0;0.656;0.0686;0.656;0.661;0.0;0.125;-5.888;0.0602;140.956;4;1;0.509;9
3039;Celebration Station;Eternal Atake;Lil Uzi Vert;2020-03-06;195058;63;0.748;0.101;0.748;0.771;0.0;0.135;-4.156;0.15;142.086;4;1;0.792;6
3040;La fórmula (feat. Chris Jeday);La Formula (feat. Chris Jeday);De La Ghetto;2017-09-15;232240;56;0.701;0.118;0.701;0.845;7.8e-06;0.311;-2.738;0.0668;172.028;4;0;0.756;2
3041;Payphone;Overexposed Track By Track;Maroon 5;2012-01-01;231173;81;0.743;0.0188;0.743;0.752;0.0;0.287;-4.813;0.0414;110.015;4;1;0.545;4
3042;Last Memory;The Last Rocket;Takeoff;2018-11-02;162132;59;0.854;0.175;0.854;0.708;0.0;0.241;-5.805;0.244;118.032;4;0;0.172;1
3043;Alice;Chromatica;Lady Gaga;2020-05-29;177600;66;0.723;0.00334;0.723;0.88;0.0179;0.0632;-4.287;0.038;123.036;4;0;0.323;11
3044;Agua de Jamaica;#7DJ (7 Días En Jamaica);Maluma;2021-01-28;176970;81;0.664;0.123;0.664;0.665;0.0;0.411;-3.616;0.0879;173.961;4;1;0.726;10
3045;Why You Always Hatin?;Still Brazy (Deluxe);YG;2016-06-17;196600;60;0.926;0.0392;0.926;0.336;0.0;0.138;-9.326;0.594;92.995;4;0;0.38;0
3046;You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault);You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault);Taylor Swift;2021-03-26;220839;78;0.589;0.818;0.589;0.496;0.0;0.101;-7.606;0.0377;142.731;4;1;0.44;2
3047;Saxofuckingfon;Saxofuckingfon;Samir & Viktor;2015-06-05;198666;50;0.762;0.0241;0.762;0.863;8.66e-06;0.297;-5.653;0.0748;127.968;4;0;0.491;3
3048;X Gon' Give It To Ya;The Best Of DMX;DMX;2010-01-01;219253;0;0.501;0.0295;0.501;0.851;0.0;0.0775;-5.111;0.292;95.058;4;0;0.627;10
3049;Please Tell Rosie;Music Is My Best Friend;Alle Farben;2016-06-03;172640;57;0.721;0.024;0.721;0.681;0.0109;0.157;-7.631;0.0488;121.978;4;0;0.768;0
3050;IGOR'S THEME;IGOR;Tyler, The Creator;2019-05-17;200693;65;0.467;0.00559;0.467;0.672;0.243;0.607;-7.371;0.377;163.1;4;0;0.0648;10
3051;"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";Fifty Shades Darker (Original Motion Picture Soundtrack);Various Artists;2017-02-10;214760;0;0.468;0.145;0.468;0.515;0.0;0.132;-6.578;0.0665;86.21;4;1;0.187;6
3052;Take Me Home;I Cry When I Laugh;Jess Glynne;2015;265381;68;0.558;0.292;0.558;0.451;0.0;0.101;-6.163;0.0388;150.008;4;1;0.238;9
3053;Maghreb Gang (feat. French Montana & Khaled);Maghreb Gang (feat. French Montana & Khaled);Farid Bang;2019-06-07;159800;59;0.738;0.0246;0.738;0.568;0.0;0.146;-5.341;0.186;99.933;4;1;0.399;8
3054;Mekanın Sahibi;Mekanın Sahibi;Norm Ender;2019-07-19;191504;58;0.893;0.254;0.893;0.63;0.0;0.116;-5.769;0.159;123.029;4;1;0.434;8
3055;Dark Side Of The Moon (feat. Nicki Minaj);Tha Carter V;Lil Wayne;2018-09-28;242972;54;0.603;0.526;0.603;0.457;0.0;0.0905;-5.384;0.297;73.724;4;1;0.455;11
3056;KANGA;DUMMY BOY;6ix9ine;2018-11-27;132330;0;0.901;0.0192;0.901;0.598;0.0;0.0791;-6.934;0.17;117.9;4;1;0.355;1
3057;Never Enough;Made In The A.M. (Deluxe Edition);One Direction;2015-11-13;213440;66;0.579;0.0379;0.579;0.779;0.0;0.385;-1.829;0.0512;164.145;3;0;0.587;4
3058;Mariners Apartment Complex;Norman Fucking Rockwell!;Lana Del Rey;2019-08-30;247150;68;0.531;0.763;0.531;0.252;0.000133;0.104;-12.765;0.028;76.054;4;1;0.159;9
